,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"Please choose the correct option from the following: ""What is 26270 plus 70625?"" Options: A. house, B. 96895, C. 4001846, D. 58356, E. 82540, F. 840, G. banana. The answer is ","Please choose the first option from the following: ""What is 26270 plus 70625?"" Options: A. house, B. 96895, C. 4001846, D. 58356, E. 82540, F. 840, G. banana. The answer is ",,365,330
2,"Please choose the correct option from the following: ""What is 30017 plus 79947?"" Options: A. 109964, B. 53684898, C. 295881, D. 1143, E. house, F. 357579, G. banana. The answer is ","Please choose the first option from the following: ""What is 30017 plus 79947?"" Options: A. 109964, B. 53684898, C. 295881, D. 1143, E. house, F. 357579, G. banana. The answer is ",,330,330
3,"Please choose the correct option from the following: ""What is 32517 plus 45695?"" Options: A. banana, B. 12715, C. 78212, D. house, E. 9464268, F. 612, G. 77272. The answer is ","Please choose the first option from the following: ""What is 32517 plus 45695?"" Options: A. banana, B. 12715, C. 78212, D. house, E. 9464268, F. 612, G. 77272. The answer is ",,334,330
4,"Please choose the correct option from the following: ""What is 17451 plus 61616?"" Options: A. 31889, B. 27688, C. banana, D. 8869636, E. house, F. 79067, G. 149. The answer is ","Please choose the first option from the following: ""What is 17451 plus 61616?"" Options: A. 31889, B. 27688, C. banana, D. 8869636, E. house, F. 79067, G. 149. The answer is ",,401,330
5,"Please choose the correct option from the following: ""What is 30435 plus 27339?"" Options: A. house, B. 89818, C. 41709, D. 7160440, E. 57774, F. banana, G. 954. The answer is ","Please choose the first option from the following: ""What is 30435 plus 27339?"" Options: A. house, B. 89818, C. 41709, D. 7160440, E. 57774, F. banana, G. 954. The answer is ",,413,330
6,"Please choose the correct option from the following: ""What is 85217 plus 46605?"" Options: A. 33507564, B. 357728, C. 131822, D. house, E. 8453, F. 584867, G. banana. The answer is ","Please choose the first option from the following: ""What is 85217 plus 46605?"" Options: A. 33507564, B. 357728, C. 131822, D. house, E. 8453, F. 584867, G. banana. The answer is ",,334,330
7,"Please choose the correct option from the following: ""What is 24401 plus 42534?"" Options: A. banana, B. 31245, C. 720, D. 1709232, E. 93903, F. house, G. 66935. The answer is ","Please choose the first option from the following: ""What is 24401 plus 42534?"" Options: A. banana, B. 31245, C. 720, D. 1709232, E. 93903, F. house, G. 66935. The answer is ",,420,330
8,"Please choose the correct option from the following: ""What is 18791 plus 59469?"" Options: A. 8730483, B. house, C. 394, D. 27813, E. banana, F. 78260, G. 10075. The answer is ","Please choose the first option from the following: ""What is 18791 plus 59469?"" Options: A. 8730483, B. house, C. 394, D. 27813, E. banana, F. 78260, G. 10075. The answer is ",,401,330
9,"Please choose the correct option from the following: ""What is 79323 plus 74219?"" Options: A. 7471, B. banana, C. 153542, D. 890897, E. 810436, F. house, G. 83862129. The answer is ","Please choose the first option from the following: ""What is 79323 plus 74219?"" Options: A. 7471, B. banana, C. 153542, D. 890897, E. 810436, F. house, G. 83862129. The answer is ",,334,330
10,"Please choose the correct option from the following: ""What is 80971 plus 62939?"" Options: A. 650555, B. 589286, C. banana, D. house, E. 143910, F. 9514, G. 57504416. The answer is ","Please choose the first option from the following: ""What is 80971 plus 62939?"" Options: A. 650555, B. 589286, C. banana, D. house, E. 143910, F. 9514, G. 57504416. The answer is ",,413,330
11,"Please choose the correct option from the following: ""What is 89366 plus 85690?"" Options: A. 43746338, B. house, C. 175056, D. 853250, E. 7638, F. banana, G. 978316. The answer is ","Please choose the first option from the following: ""What is 89366 plus 85690?"" Options: A. 43746338, B. house, C. 175056, D. 853250, E. 7638, F. banana, G. 978316. The answer is ",,334,330
12,"Please choose the correct option from the following: ""What is 78612 plus 63435?"" Options: A. 26943624, B. house, C. 9187, D. 275002, E. 142047, F. banana, G. 627593. The answer is ","Please choose the first option from the following: ""What is 78612 plus 63435?"" Options: A. 26943624, B. house, C. 9187, D. 275002, E. 142047, F. banana, G. 627593. The answer is ",,413,330
