,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"Please choose the correct option from the following: ""What is 80 plus 29?"" Options: A. house, B. banana, C. 378, D. 54942, E. 388, F. 109, G. 4. The answer is ","Please choose the first option from the following: ""What is 80 plus 29?"" Options: A. house, B. banana, C. 378, D. 54942, E. 388, F. 109, G. 4. The answer is ",,401,330
2,"Please choose the correct option from the following: ""What is 36 plus 97?"" Options: A. banana, B. 133, C. 973, D. house, E. 76244, F. 749, G. 5. The answer is ","Please choose the first option from the following: ""What is 36 plus 97?"" Options: A. banana, B. 133, C. 973, D. house, E. 76244, F. 749, G. 5. The answer is ",,365,330
3,"Please choose the correct option from the following: ""What is 72 plus 42?"" Options: A. banana, B. house, C. 114, D. 966, E. 152, F. 93136, G. 2. The answer is ","Please choose the first option from the following: ""What is 72 plus 42?"" Options: A. banana, B. house, C. 114, D. 966, E. 152, F. 93136, G. 2. The answer is ",,334,330
4,"Please choose the correct option from the following: ""What is 64 plus 45?"" Options: A. banana, B. 6, C. 109, D. house, E. 27146, F. 145, G. 103. The answer is ","Please choose the first option from the following: ""What is 64 plus 45?"" Options: A. banana, B. 6, C. 109, D. house, E. 27146, F. 145, G. 103. The answer is ",,334,330
5,"Please choose the correct option from the following: ""What is 91 plus 43?"" Options: A. 859, B. 82309, C. 8, D. house, E. 134, F. banana, G. 265. The answer is ","Please choose the first option from the following: ""What is 91 plus 43?"" Options: A. 859, B. 82309, C. 8, D. house, E. 134, F. banana, G. 265. The answer is ",,413,330
6,"Please choose the correct option from the following: ""What is 64 plus 81?"" Options: A. 29536, B. 214, C. house, D. 145, E. 109, F. 2, G. banana. The answer is ","Please choose the first option from the following: ""What is 64 plus 81?"" Options: A. 29536, B. 214, C. house, D. 145, E. 109, F. 2, G. banana. The answer is ",,384,330
7,"Please choose the correct option from the following: ""What is 79 plus 14?"" Options: A. 93, B. banana, C. 57, D. 84, E. 3426, F. house, G. 9. The answer is ","Please choose the first option from the following: ""What is 79 plus 14?"" Options: A. 93, B. banana, C. 57, D. 84, E. 3426, F. house, G. 9. The answer is ",,330,330
8,"Please choose the correct option from the following: ""What is 65 plus 26?"" Options: A. 6, B. 91, C. 1653, D. banana, E. 15, F. house, G. 49. The answer is ","Please choose the first option from the following: ""What is 65 plus 26?"" Options: A. 6, B. 91, C. 1653, D. banana, E. 15, F. house, G. 49. The answer is ",,365,330
9,"Please choose the correct option from the following: ""What is 55 plus 36?"" Options: A. 91, B. 41, C. 97, D. 2, E. house, F. banana, G. 6794. The answer is ","Please choose the first option from the following: ""What is 55 plus 36?"" Options: A. 91, B. 41, C. 97, D. 2, E. house, F. banana, G. 6794. The answer is ",,330,330
10,"Please choose the correct option from the following: ""What is 81 plus 62?"" Options: A. banana, B. 143, C. house, D. 735, E. 867, F. 3, G. 41029. The answer is ","Please choose the first option from the following: ""What is 81 plus 62?"" Options: A. banana, B. 143, C. house, D. 735, E. 867, F. 3, G. 41029. The answer is ",,365,330
11,"Please choose the correct option from the following: ""What is 30 plus 32?"" Options: A. 6, B. 7745, C. banana, D. 32, E. 62, F. 13, G. house. The answer is ","Please choose the first option from the following: ""What is 30 plus 32?"" Options: A. 6, B. 7745, C. banana, D. 32, E. 62, F. 13, G. house. The answer is ",,413,330
12,"Please choose the correct option from the following: ""What is 95 plus 41?"" Options: A. house, B. 136, C. 373, D. 263, E. banana, F. 60140, G. 2. The answer is ","Please choose the first option from the following: ""What is 95 plus 41?"" Options: A. house, B. 136, C. 373, D. 263, E. banana, F. 60140, G. 2. The answer is ",,365,330
13,"Please choose the correct option from the following: ""What is 14 plus 70?"" Options: A. banana, B. 38, C. 8, D. house, E. 84, F. 6728, G. 35. The answer is ","Please choose the first option from the following: ""What is 14 plus 70?"" Options: A. banana, B. 38, C. 8, D. house, E. 84, F. 6728, G. 35. The answer is ",,413,330
14,"Please choose the correct option from the following: ""What is 49 plus 39?"" Options: A. 4, B. 88, C. house, D. banana, E. 7528, F. 38, G. 13. The answer is ","Please choose the first option from the following: ""What is 49 plus 39?"" Options: A. 4, B. 88, C. house, D. banana, E. 7528, F. 38, G. 13. The answer is ",,365,330
15,"Please choose the correct option from the following: ""What is 52 plus 45?"" Options: A. 6, B. 9346, C. banana, D. 97, E. house, F. 18, G. 45. The answer is ","Please choose the first option from the following: ""What is 52 plus 45?"" Options: A. 6, B. 9346, C. banana, D. 97, E. house, F. 18, G. 45. The answer is ",,384,330
16,"Please choose the correct option from the following: ""What is 61 plus 96?"" Options: A. 6, B. 649, C. 157, D. banana, E. house, F. 13617, G. 963. The answer is ","Please choose the first option from the following: ""What is 61 plus 96?"" Options: A. 6, B. 649, C. 157, D. banana, E. house, F. 13617, G. 963. The answer is ",,334,330
17,"Please choose the correct option from the following: ""What is 24 plus 43?"" Options: A. banana, B. 32, C. 84, D. house, E. 5, F. 67, G. 1626. The answer is ","Please choose the first option from the following: ""What is 24 plus 43?"" Options: A. banana, B. 32, C. 84, D. house, E. 5, F. 67, G. 1626. The answer is ",,401,330
18,"Please choose the correct option from the following: ""What is 23 plus 86?"" Options: A. banana, B. 109, C. house, D. 67199, E. 544, F. 453, G. 6. The answer is ","Please choose the first option from the following: ""What is 23 plus 86?"" Options: A. banana, B. 109, C. house, D. 67199, E. 544, F. 453, G. 6. The answer is ",,365,330
19,"Please choose the correct option from the following: ""What is 87 plus 75?"" Options: A. house, B. 218, C. 43386, D. 162, E. banana, F. 4, G. 494. The answer is ","Please choose the first option from the following: ""What is 87 plus 75?"" Options: A. house, B. 218, C. 43386, D. 162, E. banana, F. 4, G. 494. The answer is ",,384,330
20,"Please choose the correct option from the following: ""What is 15 plus 65?"" Options: A. banana, B. 10, C. 9, D. house, E. 76, F. 4228, G. 80. The answer is ","Please choose the first option from the following: ""What is 15 plus 65?"" Options: A. banana, B. 10, C. 9, D. house, E. 76, F. 4228, G. 80. The answer is ",,420,330
21,"Please choose the correct option from the following: ""What is 56 plus 65?"" Options: A. house, B. 121, C. 171, D. 780, E. 91678, F. banana, G. 6. The answer is ","Please choose the first option from the following: ""What is 56 plus 65?"" Options: A. house, B. 121, C. 171, D. 780, E. 91678, F. banana, G. 6. The answer is ",,365,330
22,"Please choose the correct option from the following: ""What is 50 plus 94?"" Options: A. 76469, B. 968, C. house, D. 5, E. 227, F. banana, G. 144. The answer is ","Please choose the first option from the following: ""What is 50 plus 94?"" Options: A. 76469, B. 968, C. house, D. 5, E. 227, F. banana, G. 144. The answer is ",,420,330
23,"Please choose the correct option from the following: ""What is 49 plus 95?"" Options: A. 518, B. house, C. 144, D. 434, E. 48752, F. 7, G. banana. The answer is ","Please choose the first option from the following: ""What is 49 plus 95?"" Options: A. 518, B. house, C. 144, D. 434, E. 48752, F. 7, G. banana. The answer is ",,334,330
24,"Please choose the correct option from the following: ""What is 80 plus 26?"" Options: A. 296, B. banana, C. 530, D. 7, E. 106, F. house, G. 98777. The answer is ","Please choose the first option from the following: ""What is 80 plus 26?"" Options: A. 296, B. banana, C. 530, D. 7, E. 106, F. house, G. 98777. The answer is ",,413,330
25,"Please choose the correct option from the following: ""What is 32 plus 88?"" Options: A. 7, B. 682, C. 120, D. banana, E. 408, F. 81819, G. house. The answer is ","Please choose the first option from the following: ""What is 32 plus 88?"" Options: A. 7, B. 682, C. 120, D. banana, E. 408, F. 81819, G. house. The answer is ",,334,330
26,"Please choose the correct option from the following: ""What is 10 plus 48?"" Options: A. 6279, B. 36, C. 46, D. house, E. 7, F. 58, G. banana. The answer is ","Please choose the first option from the following: ""What is 10 plus 48?"" Options: A. 6279, B. 36, C. 46, D. house, E. 7, F. 58, G. banana. The answer is ",,401,330
27,"Please choose the correct option from the following: ""What is 69 plus 66?"" Options: A. 4, B. house, C. 77000, D. banana, E. 791, F. 552, G. 135. The answer is ","Please choose the first option from the following: ""What is 69 plus 66?"" Options: A. 4, B. house, C. 77000, D. banana, E. 791, F. 552, G. 135. The answer is ",,420,330
28,"Please choose the correct option from the following: ""What is 70 plus 31?"" Options: A. 186, B. 77561, C. banana, D. 5, E. house, F. 774, G. 101. The answer is ","Please choose the first option from the following: ""What is 70 plus 31?"" Options: A. 186, B. 77561, C. banana, D. 5, E. house, F. 774, G. 101. The answer is ",,420,330
29,"Please choose the correct option from the following: ""What is 94 plus 91?"" Options: A. 443, B. 2, C. 40784, D. 185, E. house, F. 734, G. banana. The answer is ","Please choose the first option from the following: ""What is 94 plus 91?"" Options: A. 443, B. 2, C. 40784, D. 185, E. house, F. 734, G. banana. The answer is ",,384,330
30,"Please choose the correct option from the following: ""What is 96 plus 49?"" Options: A. 145, B. house, C. 29313, D. 330, E. 4, F. banana, G. 925. The answer is ","Please choose the first option from the following: ""What is 96 plus 49?"" Options: A. 145, B. house, C. 29313, D. 330, E. 4, F. banana, G. 925. The answer is ",,330,330
31,"Please choose the correct option from the following: ""What is 13 plus 15?"" Options: A. 70, B. 2, C. 8461, D. banana, E. 28, F. 41, G. house. The answer is ","Please choose the first option from the following: ""What is 13 plus 15?"" Options: A. 70, B. 2, C. 8461, D. banana, E. 28, F. 41, G. house. The answer is ",,413,330
32,"Please choose the correct option from the following: ""What is 63 plus 90?"" Options: A. 689, B. 153, C. 299, D. banana, E. 74799, F. 7, G. house. The answer is ","Please choose the first option from the following: ""What is 63 plus 90?"" Options: A. 689, B. 153, C. 299, D. banana, E. 74799, F. 7, G. house. The answer is ",,365,330
33,"Please choose the correct option from the following: ""What is 61 plus 41?"" Options: A. 1, B. 771, C. 251, D. house, E. 23970, F. banana, G. 102. The answer is ","Please choose the first option from the following: ""What is 61 plus 41?"" Options: A. 1, B. 771, C. 251, D. house, E. 23970, F. banana, G. 102. The answer is ",,420,330
34,"Please choose the correct option from the following: ""What is 64 plus 38?"" Options: A. house, B. 280, C. 9, D. 923, E. 70889, F. banana, G. 102. The answer is ","Please choose the first option from the following: ""What is 64 plus 38?"" Options: A. house, B. 280, C. 9, D. 923, E. 70889, F. banana, G. 102. The answer is ",,420,330
35,"Please choose the correct option from the following: ""What is 16 plus 81?"" Options: A. house, B. 97, C. 25, D. banana, E. 3184, F. 41, G. 8. The answer is ","Please choose the first option from the following: ""What is 16 plus 81?"" Options: A. house, B. 97, C. 25, D. banana, E. 3184, F. 41, G. 8. The answer is ",,365,330
36,"Please choose the correct option from the following: ""What is 69 plus 95?"" Options: A. 68008, B. 672, C. 643, D. 164, E. 6, F. house, G. banana. The answer is ","Please choose the first option from the following: ""What is 69 plus 95?"" Options: A. 68008, B. 672, C. 643, D. 164, E. 6, F. house, G. banana. The answer is ",,384,330
37,"Please choose the correct option from the following: ""What is 88 plus 74?"" Options: A. 9, B. banana, C. 536, D. 162, E. 950, F. house, G. 68446. The answer is ","Please choose the first option from the following: ""What is 88 plus 74?"" Options: A. 9, B. banana, C. 536, D. 162, E. 950, F. house, G. 68446. The answer is ",,384,330
38,"Please choose the correct option from the following: ""What is 30 plus 70?"" Options: A. 4, B. banana, C. house, D. 100, E. 93579, F. 365, G. 560. The answer is ","Please choose the first option from the following: ""What is 30 plus 70?"" Options: A. 4, B. banana, C. house, D. 100, E. 93579, F. 365, G. 560. The answer is ",,384,330
39,"Please choose the correct option from the following: ""What is 45 plus 76?"" Options: A. 45992, B. 741, C. house, D. 4, E. 121, F. banana, G. 596. The answer is ","Please choose the first option from the following: ""What is 45 plus 76?"" Options: A. 45992, B. 741, C. house, D. 4, E. 121, F. banana, G. 596. The answer is ",,413,330
40,"Please choose the correct option from the following: ""What is 66 plus 19?"" Options: A. 5, B. banana, C. 46, D. house, E. 6502, F. 40, G. 85. The answer is ","Please choose the first option from the following: ""What is 66 plus 19?"" Options: A. 5, B. banana, C. 46, D. house, E. 6502, F. 40, G. 85. The answer is ",,420,330
41,"Please choose the correct option from the following: ""What is 50 plus 79?"" Options: A. 40311, B. banana, C. 3, D. 241, E. 129, F. 182, G. house. The answer is ","Please choose the first option from the following: ""What is 50 plus 79?"" Options: A. 40311, B. banana, C. 3, D. 241, E. 129, F. 182, G. house. The answer is ",,413,330
42,"Please choose the correct option from the following: ""What is 59 plus 98?"" Options: A. 157, B. 823, C. house, D. banana, E. 4, F. 18418, G. 256. The answer is ","Please choose the first option from the following: ""What is 59 plus 98?"" Options: A. 157, B. 823, C. house, D. banana, E. 4, F. 18418, G. 256. The answer is ",,330,330
43,"Please choose the correct option from the following: ""What is 63 plus 62?"" Options: A. 64496, B. banana, C. 655, D. 125, E. house, F. 8, G. 438. The answer is ","Please choose the first option from the following: ""What is 63 plus 62?"" Options: A. 64496, B. banana, C. 655, D. 125, E. house, F. 8, G. 438. The answer is ",,384,330
44,"Please choose the correct option from the following: ""What is 17 plus 36?"" Options: A. 53, B. 1, C. 63, D. house, E. 59, F. 7232, G. banana. The answer is ","Please choose the first option from the following: ""What is 17 plus 36?"" Options: A. 53, B. 1, C. 63, D. house, E. 59, F. 7232, G. banana. The answer is ",,330,330
45,"Please choose the correct option from the following: ""What is 71 plus 10?"" Options: A. 81, B. 7865, C. 7, D. 55, E. 48, F. house, G. banana. The answer is ","Please choose the first option from the following: ""What is 71 plus 10?"" Options: A. 81, B. 7865, C. 7, D. 55, E. 48, F. house, G. banana. The answer is ",,330,330
46,"Please choose the correct option from the following: ""What is 78 plus 79?"" Options: A. 919, B. 157, C. 4, D. 717, E. 73993, F. banana, G. house. The answer is ","Please choose the first option from the following: ""What is 78 plus 79?"" Options: A. 919, B. 157, C. 4, D. 717, E. 73993, F. banana, G. house. The answer is ",,365,330
47,"Please choose the correct option from the following: ""What is 38 plus 44?"" Options: A. 72, B. 7371, C. 82, D. 65, E. house, F. 1, G. banana. The answer is ","Please choose the first option from the following: ""What is 38 plus 44?"" Options: A. 72, B. 7371, C. 82, D. 65, E. house, F. 1, G. banana. The answer is ",,334,330
48,"Please choose the correct option from the following: ""What is 53 plus 95?"" Options: A. 148, B. 795, C. banana, D. 31632, E. house, F. 917, G. 7. The answer is ","Please choose the first option from the following: ""What is 53 plus 95?"" Options: A. 148, B. 795, C. banana, D. 31632, E. house, F. 917, G. 7. The answer is ",,330,330
49,"Please choose the correct option from the following: ""What is 69 plus 26?"" Options: A. 89, B. 1, C. banana, D. 78, E. house, F. 95, G. 7455. The answer is ","Please choose the first option from the following: ""What is 69 plus 26?"" Options: A. 89, B. 1, C. banana, D. 78, E. house, F. 95, G. 7455. The answer is ",,401,330
50,"Please choose the correct option from the following: ""What is 85 plus 82?"" Options: A. 778, B. 2, C. banana, D. 167, E. 127, F. house, G. 94246. The answer is ","Please choose the first option from the following: ""What is 85 plus 82?"" Options: A. 778, B. 2, C. banana, D. 167, E. 127, F. house, G. 94246. The answer is ",,384,330
51,"Please choose the correct option from the following: ""What is 64 plus 27?"" Options: A. 5262, B. banana, C. house, D. 1, E. 91, F. 33, G. 69. The answer is ","Please choose the first option from the following: ""What is 64 plus 27?"" Options: A. 5262, B. banana, C. house, D. 1, E. 91, F. 33, G. 69. The answer is ",,413,330
52,"Please choose the correct option from the following: ""What is 58 plus 51?"" Options: A. 54236, B. 565, C. 316, D. 109, E. banana, F. 6, G. house. The answer is ","Please choose the first option from the following: ""What is 58 plus 51?"" Options: A. 54236, B. 565, C. 316, D. 109, E. banana, F. 6, G. house. The answer is ",,384,330
53,"Please choose the correct option from the following: ""What is 58 plus 45?"" Options: A. 870, B. house, C. 43065, D. 7, E. 951, F. 103, G. banana. The answer is ","Please choose the first option from the following: ""What is 58 plus 45?"" Options: A. 870, B. house, C. 43065, D. 7, E. 951, F. 103, G. banana. The answer is ",,401,330
