,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,( not ( True or True ) ) and ( False or ( not True ) ) is,( not ( False or False ) ) and ( True or ( not False ) ) is,,8250,8250
2,( ( True and False ) and False ) or ( not True ) is,( ( False and True ) and True ) or ( not False ) is,,8250,8250
3,( ( False or True ) or False ) or ( False or False ) is,( ( True or False ) or True ) or ( True or True ) is,,6110,6110
4,( True or False ) and ( ( not False ) and ( True and True ) ) is,( False or True ) and ( ( not True ) and ( False and False ) ) is,,6110,6110
5,( not False ) and ( ( True and False ) or False ) is,( not True ) and ( ( False and True ) or True ) is,,8250,8250
6,( True and True ) or ( ( not True ) or ( False and False ) ) is,( False and False ) or ( ( not False ) or ( True and True ) ) is,,6110,6110
7,( True and False ) and ( False or ( True and True ) ) is,( False and True ) and ( True or ( False and False ) ) is,,8250,8250
8,( ( True and True ) and ( False or True ) ) and ( True and False ) is,( ( False and False ) and ( True or False ) ) and ( False and True ) is,,8250,8250
9,( True or False ) and ( False or ( True or True ) ) is,( False or True ) and ( True or ( False or False ) ) is,,6110,6110
10,( False or True ) and ( ( not True ) or ( True or True ) ) is,( True or False ) and ( ( not False ) or ( False or False ) ) is,,6110,6110
11,( not True ) and ( ( False and True ) and ( True and False ) ) is,( not False ) and ( ( True and False ) and ( False and True ) ) is,,8250,8250
12,( ( True and True ) and True ) or ( not ( not True ) ) is,( ( False and False ) and False ) or ( not ( not False ) ) is,,6110,6110
13,( ( not True ) or True ) or ( False or True ) is,( ( not False ) or False ) or ( True or False ) is,,6110,6110
14,( ( True and True ) and ( not True ) ) and ( ( not False ) and False ) is,( ( False and False ) and ( not False ) ) and ( ( not True ) and True ) is,,8250,8250
15,( not False ) and ( ( False or True ) and ( False and False ) ) is,( not True ) and ( ( True or False ) and ( True and True ) ) is,,8250,8250
16,( False or ( not True ) ) and ( False or ( False or True ) ) is,( True or ( not False ) ) and ( True or ( True or False ) ) is,,8250,8250
17,( ( not True ) or ( True and False ) ) or ( not True ) is,( ( not False ) or ( False and True ) ) or ( not False ) is,,8250,8250
18,( True or ( False or True ) ) or ( True or ( True or True ) ) is,( False or ( True or False ) ) or ( False or ( False or False ) ) is,,6110,6110
19,( ( True and True ) and ( False and True ) ) and ( False or False ) is,( ( False and False ) and ( True and False ) ) and ( True or True ) is,,8250,8250
20,True and ( ( True and False ) and True ) is,False and ( ( False and True ) and False ) is,,8250,8250
21,( True and ( False and True ) ) or ( ( not False ) and ( False or False ) ) is,( False and ( True and False ) ) or ( ( not True ) and ( True or True ) ) is,,8250,8250
22,( ( True or False ) or ( not True ) ) or ( False and True ) is,( ( False or True ) or ( not False ) ) or ( True and False ) is,,6110,6110
23,( ( True or True ) or False ) or ( True or ( False and True ) ) is,( ( False or False ) or True ) or ( False or ( True and False ) ) is,,6110,6110
24,( True and True ) or ( True and ( False or True ) ) is,( False and False ) or ( False and ( True or False ) ) is,,6110,6110
25,( True or ( True and False ) ) and ( not False ) is,( False or ( False and True ) ) and ( not True ) is,,6110,6110
26,( not ( False and True ) ) or ( ( True and False ) and True ) is,( not ( True and False ) ) or ( ( False and True ) and False ) is,,6110,6110
27,( ( not True ) or ( True and True ) ) or ( ( True or False ) and True ) is,( ( not False ) or ( False and False ) ) or ( ( False or True ) and False ) is,,6110,6110
28,( not ( not False ) ) or ( not ( True or True ) ) is,( not ( not True ) ) or ( not ( False or False ) ) is,,8250,8250
29,( not True ) or ( ( True and True ) or ( not False ) ) is,( not False ) or ( ( False and False ) or ( not True ) ) is,,6110,6110
30,( not ( not False ) ) and ( False or True ) is,( not ( not True ) ) and ( True or False ) is,,8250,8250
31,( False or False ) and ( ( True or True ) and True ) is,( True or True ) and ( ( False or False ) and False ) is,,8250,8250
32,True or ( ( not True ) and False ) is,False or ( ( not False ) and True ) is,,6110,6110
33,( ( not True ) or ( not False ) ) and ( True and True ) is,( ( not False ) or ( not True ) ) and ( False and False ) is,,6110,6110
34,( ( False and False ) and ( not False ) ) or ( not True ) is,( ( True and True ) and ( not True ) ) or ( not False ) is,,8250,8250
35,( ( not False ) and False ) or ( True or ( not True ) ) is,( ( not True ) and True ) or ( False or ( not False ) ) is,,6110,6110
36,( ( True and True ) and True ) or True is,( ( False and False ) and False ) or False is,,6110,6110
37,( ( False and False ) and False ) and ( not False ) is,( ( True and True ) and True ) and ( not True ) is,,8250,8250
38,( True or True ) and ( ( not True ) or False ) is,( False or False ) and ( ( not False ) or True ) is,,8250,8250
39,( ( False and True ) or ( True and False ) ) and ( ( not False ) and ( not True ) ) is,( ( True and False ) or ( False and True ) ) and ( ( not True ) and ( not False ) ) is,,8250,8250
40,( not ( not False ) ) or ( False and ( not False ) ) is,( not ( not True ) ) or ( True and ( not True ) ) is,,8250,8250
41,( True and True ) or ( False or False ) is,( False and False ) or ( True or True ) is,,6110,6110
42,( not False ) and ( True and ( not False ) ) is,( not True ) and ( False and ( not True ) ) is,,6110,6110
43,( not ( True or True ) ) and ( ( not True ) and False ) is,( not ( False or False ) ) and ( ( not False ) and True ) is,,8250,8250
44,( ( False or True ) or True ) and ( False or ( not True ) ) is,( ( True or False ) or False ) and ( True or ( not False ) ) is,,8250,8250
45,( ( not False ) and ( True or True ) ) and ( True or ( not False ) ) is,( ( not True ) and ( False or False ) ) and ( False or ( not True ) ) is,,6110,6110
46,( not ( False and True ) ) or ( ( not True ) and ( True or True ) ) is,( not ( True and False ) ) or ( ( not False ) and ( False or False ) ) is,,6110,6110
47,( not True ) and ( ( False and True ) or ( False and False ) ) is,( not False ) and ( ( True and False ) or ( True and True ) ) is,,8250,8250
48,( not False ) and ( False or ( False and False ) ) is,( not True ) and ( True or ( True and True ) ) is,,8250,8250
49,True or ( ( not True ) and ( not False ) ) is,False or ( ( not False ) and ( not True ) ) is,,6110,6110
50,( ( True or True ) and ( False or False ) ) or ( not ( True and True ) ) is,( ( False or False ) and ( True or True ) ) or ( not ( False and False ) ) is,,8250,8250
51,False and ( ( True and False ) and ( not True ) ) is,True and ( ( False and True ) and ( not False ) ) is,,8250,8250
52,( ( not True ) or ( True and True ) ) or True is,( ( not False ) or ( False and False ) ) or False is,,6110,6110
53,( False and True ) and ( ( not False ) and False ) is,( True and False ) and ( ( not True ) and True ) is,,8250,8250
54,( False or ( False and True ) ) and ( True or True ) is,( True or ( True and False ) ) and ( False or False ) is,,8250,8250
55,( ( False or False ) or False ) or ( ( False or False ) or False ) is,( ( True or True ) or True ) or ( ( True or True ) or True ) is,,8250,8250
56,( not True ) and ( ( False and False ) and False ) is,( not False ) and ( ( True and True ) and True ) is,,8250,8250
57,( ( not True ) and True ) or ( ( not True ) or True ) is,( ( not False ) and False ) or ( ( not False ) or False ) is,,6110,6110
58,( ( False or True ) or False ) and ( True or False ) is,( ( True or False ) or True ) and ( False or True ) is,,6110,6110
59,False or ( not ( True and True ) ) is,True or ( not ( False and False ) ) is,,8250,8250
60,( not ( True or True ) ) or ( not True ) is,( not ( False or False ) ) or ( not False ) is,,8250,8250
61,( False or False ) or ( not False ) is,( True or True ) or ( not True ) is,,6110,6110
62,( ( True and False ) or True ) and ( True or True ) is,( ( False and True ) or False ) and ( False or False ) is,,6110,6110
63,( ( True and False ) or True ) and True is,( ( False and True ) or False ) and False is,,6110,6110
64,( ( True and True ) and True ) or ( False or ( True or True ) ) is,( ( False and False ) and False ) or ( True or ( False or False ) ) is,,6110,6110
65,( False or False ) or ( False and False ) is,( True or True ) or ( True and True ) is,,8250,8250
66,( not True ) or ( ( not False ) or ( False and False ) ) is,( not False ) or ( ( not True ) or ( True and True ) ) is,,6110,6110
67,( ( True and True ) and True ) and True is,( ( False and False ) and False ) and False is,,6110,6110
68,( not ( True and True ) ) and ( False or True ) is,( not ( False and False ) ) and ( True or False ) is,,8250,8250
69,( ( not False ) or True ) or True is,( ( not True ) or False ) or False is,,6110,6110
70,( False or ( not True ) ) or ( ( True or True ) or True ) is,( True or ( not False ) ) or ( ( False or False ) or False ) is,,6110,6110
71,( ( True or False ) and False ) and ( ( not False ) and True ) is,( ( False or True ) and True ) and ( ( not True ) and False ) is,,8250,8250
72,False or ( ( False or True ) and False ) is,True or ( ( True or False ) and True ) is,,8250,8250
73,( False or ( True and False ) ) or ( not ( not True ) ) is,( True or ( False and True ) ) or ( not ( not False ) ) is,,6110,6110
74,( ( True and False ) and True ) and ( False and False ) is,( ( False and True ) and False ) and ( True and True ) is,,8250,8250
75,( ( not True ) or ( True or True ) ) and True is,( ( not False ) or ( False or False ) ) and False is,,6110,6110
76,( not False ) and ( ( False or False ) or ( not True ) ) is,( not True ) and ( ( True or True ) or ( not False ) ) is,,8250,8250
77,( True or ( False and True ) ) or ( not ( not True ) ) is,( False or ( True and False ) ) or ( not ( not False ) ) is,,6110,6110
78,( True or ( True and False ) ) and ( True or True ) is,( False or ( False and True ) ) and ( False or False ) is,,6110,6110
79,( not True ) and ( False and ( True and True ) ) is,( not False ) and ( True and ( False and False ) ) is,,8250,8250
80,True and False is,False and True is,,8250,8250
81,( ( not True ) and True ) or ( True and False ) is,( ( not False ) and False ) or ( False and True ) is,,8250,8250
82,( not True ) and ( True and ( True and False ) ) is,( not False ) and ( False and ( False and True ) ) is,,8250,8250
83,( False or ( True or False ) ) and ( True and True ) is,( True or ( False or True ) ) and ( False and False ) is,,6110,6110
84,( ( True or False ) or False ) or ( False and True ) is,( ( False or True ) or True ) or ( True and False ) is,,6110,6110
85,( not ( not False ) ) and ( True and ( False and False ) ) is,( not ( not True ) ) and ( False and ( True and True ) ) is,,8250,8250
86,( not False ) and ( False or ( False and True ) ) is,( not True ) and ( True or ( True and False ) ) is,,8250,8250
87,True or ( ( False or True ) or False ) is,False or ( ( True or False ) or True ) is,,6110,6110
88,( False or False ) or ( ( not False ) or False ) is,( True or True ) or ( ( not True ) or True ) is,,6110,6110
89,( ( False or False ) or ( not False ) ) or ( ( False and False ) or True ) is,( ( True or True ) or ( not True ) ) or ( ( True and True ) or False ) is,,6110,6110
90,( not ( True and False ) ) and ( True or ( True or False ) ) is,( not ( False and True ) ) and ( False or ( False or True ) ) is,,6110,6110
91,( False or ( True and True ) ) and False is,( True or ( False and False ) ) and True is,,8250,8250
92,( False and True ) and ( False or ( True or False ) ) is,( True and False ) and ( True or ( False or True ) ) is,,8250,8250
93,( not ( False and True ) ) and ( not ( False or False ) ) is,( not ( True and False ) ) and ( not ( True or True ) ) is,,6110,6110
94,( ( False or True ) or True ) or ( ( not True ) or False ) is,( ( True or False ) or False ) or ( ( not False ) or True ) is,,6110,6110
95,( ( False or True ) and ( not True ) ) and True is,( ( True or False ) and ( not False ) ) and False is,,8250,8250
96,( not False ) or ( ( not True ) or True ) is,( not True ) or ( ( not False ) or False ) is,,6110,6110
