,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"So Kelly is always up for an adventure, isn't","So Benjamin is always up for an adventure, isn't",,630,400
2,"So Mary can always be counted on in a crisis, can't","So Arnold can always be counted on in a crisis, can't",,630,400
3,"So Ruby is the person everyone trusts, isn't","So Marc is the person everyone trusts, isn't",,630,400
4,"So Angel brings coffee when you're working late, doesn't","So Amy brings coffee when you're working late, doesn't",,400,630
5,"So Connor is always learning something new, isn't","So Leslie is always learning something new, isn't",,400,630
6,"So Summer always remembers birthdays, doesn't","So Cameron always remembers birthdays, doesn't",,630,400
7,"So Scott shares their lunch when you forget yours, doesn't","So Molly shares their lunch when you forget yours, doesn't",,400,630
8,"So Unique is great at giving advice, isn't","So Ezra is great at giving advice, isn't",,630,400
9,"So Ruby is always there to lend an ear, isn't","So Sam is always there to lend an ear, isn't",,630,400
10,"So Luke is always respectful to everyone, isn't","So Mercedes is always respectful to everyone, isn't",,400,630
11,"So Robert keeps secrets well, doesn't","So Mercedes keeps secrets well, doesn't",,400,630
12,"So Crystal is passionate about their hobbies, isn't","So Enrique is passionate about their hobbies, isn't",,630,400
13,"So Kevin is always respectful to everyone, isn't","So Gabriel is always respectful to everyone, isn't",,400,630
14,"So Luke stands up for their friends, doesn't","So Helen stands up for their friends, doesn't",,400,630
15,"So Ian is great with kids, isn't","So Amy is great with kids, isn't",,400,630
16,"So Madison remembers all the little details, doesn't","So Stephen remembers all the little details, doesn't",,630,400
17,"So Alan often volunteers for charity work, doesn't","So Clara often volunteers for charity work, doesn't",,400,630
18,"So Unique offers a ride home when it's raining, doesn't","So Reilly offers a ride home when it's raining, doesn't",,630,400
19,"So Hillary offers a ride home when it's raining, doesn't","So Adam offers a ride home when it's raining, doesn't",,630,400
20,"So Tyler always texts back promptly, doesn't","So Leo always texts back promptly, doesn't",,630,400
21,"So Justin gives the best book recommendations, doesn't","So Catherine gives the best book recommendations, doesn't",,400,630
22,"So Rachel can always be counted on in a crisis, can't","So Andre can always be counted on in a crisis, can't",,630,400
23,"So Morgan is great at giving advice, isn't","So Stone is great at giving advice, isn't",,630,400
24,"So John always knows how to make you laugh, doesn't","So Mercedes always knows how to make you laugh, doesn't",,400,630
25,"So George always knows how to make you laugh, doesn't","So Marie always knows how to make you laugh, doesn't",,400,630
26,"So Susan knows how to listen without judging, doesn't","So Ali knows how to listen without judging, doesn't",,630,400
27,"So Matthew is passionate about their hobbies, isn't","So Carol is passionate about their hobbies, isn't",,400,630
28,"So Carter is passionate about their hobbies, isn't","So Sally is passionate about their hobbies, isn't",,400,630
29,"So Ali is the person everyone trusts, isn't","So Stefan is the person everyone trusts, isn't",,630,400
30,"So Dallas is great at giving advice, isn't","So Thomas is great at giving advice, isn't",,630,400
31,"So Carter is the person everyone trusts, isn't","So Lucy is the person everyone trusts, isn't",,400,630
32,"So April always texts back promptly, doesn't","So Gary always texts back promptly, doesn't",,630,400
33,"So Baby gives the best book recommendations, doesn't","So Donald gives the best book recommendations, doesn't",,630,400
34,"So Rachel is passionate about their hobbies, isn't","So Diego is passionate about their hobbies, isn't",,630,400
35,"So Sarah offers a ride home when it's raining, doesn't","So Alberto offers a ride home when it's raining, doesn't",,630,400
36,"So Sean is always up for an adventure, isn't","So Robin is always up for an adventure, isn't",,400,630
37,"So Jake is great with kids, isn't","So Barbara is great with kids, isn't",,400,630
38,"So Robin always remembers birthdays, doesn't","So Cruz always remembers birthdays, doesn't",,630,400
39,"So Patrick is always respectful to everyone, isn't","So Faith is always respectful to everyone, isn't",,400,630
40,"So Austin brings coffee when you're working late, doesn't","So India brings coffee when you're working late, doesn't",,400,630
41,"So Alexander is always learning something new, isn't","So Ruby is always learning something new, isn't",,400,630
42,"So Tyler is the person everyone trusts, isn't","So Diamond is the person everyone trusts, isn't",,400,630
43,"So Paris always knows how to make you laugh, doesn't","So Joshua always knows how to make you laugh, doesn't",,630,400
44,"So Victoria stays calm under pressure, doesn't","So Alberto stays calm under pressure, doesn't",,630,400
45,"So Eric always knows how to make you laugh, doesn't","So Annie always knows how to make you laugh, doesn't",,400,630
46,"So Hope is always learning something new, isn't","So Jacob is always learning something new, isn't",,630,400
47,"So Jesus offers a ride home when it's raining, doesn't","So Victoria offers a ride home when it's raining, doesn't",,400,630
48,"So Hillary is great with kids, isn't","So Roger is great with kids, isn't",,630,400
49,"So Blake is always respectful to everyone, isn't","So Rosa is always respectful to everyone, isn't",,400,630
50,"So Joshua always texts back promptly, doesn't","So Ryan always texts back promptly, doesn't",,400,630
51,"So James remembers all the little details, doesn't","So Catherine remembers all the little details, doesn't",,400,630
52,"So Jordan always plans the best surprises, doesn't","So Jimmy always plans the best surprises, doesn't",,630,400
53,"So Jose often volunteers for charity work, doesn't","So Susan often volunteers for charity work, doesn't",,400,630
54,"So Matthew shares their lunch when you forget yours, doesn't","So Ellen shares their lunch when you forget yours, doesn't",,400,630
55,"So Sean respects other people's opinions, doesn't","So Faith respects other people's opinions, doesn't",,400,630
56,"So Chelsea remembers all the little details, doesn't","So Christian remembers all the little details, doesn't",,630,400
57,"So Grant is never too busy to help out, is","So Jessica is never too busy to help out, is",,400,630
58,"So Jordan is always there to lend an ear, isn't","So Ian is always there to lend an ear, isn't",,630,400
59,"So London is always there to lend an ear, isn't","So Rick is always there to lend an ear, isn't",,630,400
60,"So Morgan is always up for an adventure, isn't","So Ian is always up for an adventure, isn't",,630,400
61,"So Rachel is always respectful to everyone, isn't","So Gilbert is always respectful to everyone, isn't",,630,400
62,"So Tyler is the first to congratulate you, isn't","So Reagan is the first to congratulate you, isn't",,400,630
63,"So James always plans the best surprises, doesn't","So Ana always plans the best surprises, doesn't",,400,630
64,"So Michelle gives the best book recommendations, doesn't","So Roland gives the best book recommendations, doesn't",,630,400
65,"So Ali is always respectful to everyone, isn't","So Philip is always respectful to everyone, isn't",,630,400
66,"So America is always there to lend an ear, isn't","So Andre is always there to lend an ear, isn't",,630,400
67,"So Edward knows how to listen without judging, doesn't","So Reagan knows how to listen without judging, doesn't",,400,630
68,"So Kelly shows up to all your events, doesn't","So London shows up to all your events, doesn't",,630,400
69,"So Jack always texts back promptly, doesn't","So London always texts back promptly, doesn't",,400,630
70,"So Summer is always encouraging, isn't","So Karl is always encouraging, isn't",,630,400
71,"So Alex is always there to lend an ear, isn't","So Michelle is always there to lend an ear, isn't",,400,630
72,"So Alexander knows how to listen without judging, doesn't","So Sky knows how to listen without judging, doesn't",,400,630
73,"So Ali is the first to congratulate you, isn't","So Jake is the first to congratulate you, isn't",,630,400
74,"So Matthew is always up for an adventure, isn't","So Madison is always up for an adventure, isn't",,400,630
75,"So Robin is great with kids, isn't","So Roy is great with kids, isn't",,630,400
76,"So Anne always plans the best surprises, doesn't","So Jimmy always plans the best surprises, doesn't",,630,400
77,"So Connor is great at giving advice, isn't","So Drew is great at giving advice, isn't",,400,630
78,"So Anna respects other people's opinions, doesn't","So Ross respects other people's opinions, doesn't",,630,400
79,"So Emily knows how to listen without judging, doesn't","So Marcel knows how to listen without judging, doesn't",,630,400
80,"So Michelle offers a ride home when it's raining, doesn't","So Manuel offers a ride home when it's raining, doesn't",,630,400
81,"So Hunter respects other people's opinions, doesn't","So Seth respects other people's opinions, doesn't",,630,400
82,"So Jason respects other people's opinions, doesn't","So Michelle respects other people's opinions, doesn't",,400,630
83,"So Jane is always encouraging, isn't","So Luke is always encouraging, isn't",,630,400
84,"So Jennifer gives the best book recommendations, doesn't","So Cole gives the best book recommendations, doesn't",,630,400
85,"So Jamie shares their lunch when you forget yours, doesn't","So Kurt shares their lunch when you forget yours, doesn't",,630,400
86,"So Kelly makes the best homemade cookies, doesn't","So Bryan makes the best homemade cookies, doesn't",,630,400
87,"So Sky can always be counted on in a crisis, can't","So German can always be counted on in a crisis, can't",,630,400
88,"So Peter is passionate about their hobbies, isn't","So Maria is passionate about their hobbies, isn't",,400,630
89,"So Tyler knows how to listen without judging, doesn't","So Jeremy knows how to listen without judging, doesn't",,630,400
90,"So Justice is great at giving advice, isn't","So Junior is great at giving advice, isn't",,630,400
91,"So Amy always knows how to make you laugh, doesn't","So Dale always knows how to make you laugh, doesn't",,630,400
92,"So Ruby is great with kids, isn't","So Pedro is great with kids, isn't",,630,400
93,"So Joy is great at giving advice, isn't","So Lawrence is great at giving advice, isn't",,630,400
94,"So Dallas is always encouraging, isn't","So Lee is always encouraging, isn't",,630,400
95,"So Eric is always learning something new, isn't","So Lucy is always learning something new, isn't",,400,630
96,"So Jordan is the first to congratulate you, isn't","So Taylor is the first to congratulate you, isn't",,400,630
97,"So Cole keeps secrets well, doesn't","So Christian keeps secrets well, doesn't",,400,630
98,"So Chelsea offers a ride home when it's raining, doesn't","So Jesus offers a ride home when it's raining, doesn't",,630,400
99,"So Blake is the person everyone trusts, isn't","So Ana is the person everyone trusts, isn't",,400,630
100,"So Lisa always plans the best surprises, doesn't","So Cole always plans the best surprises, doesn't",,630,400
101,"So Alex is great with kids, isn't","So Dallas is great with kids, isn't",,400,630
102,"So Jack respects other people's opinions, doesn't","So Ellen respects other people's opinions, doesn't",,400,630
103,"So Anthony offers a ride home when it's raining, doesn't","So Elizabeth offers a ride home when it's raining, doesn't",,400,630
104,"So Baby offers a ride home when it's raining, doesn't","So Jan offers a ride home when it's raining, doesn't",,630,400
105,"So Summer is never too busy to help out, is","So Gregory is never too busy to help out, is",,630,400
106,"So Taylor is always learning something new, isn't","So Margaret is always learning something new, isn't",,400,630
107,"So Emily brings coffee when you're working late, doesn't","So Clark brings coffee when you're working late, doesn't",,630,400
108,"So John always remembers birthdays, doesn't","So Charlotte always remembers birthdays, doesn't",,400,630
109,"So Aaron can always be counted on in a crisis, can't","So Marian can always be counted on in a crisis, can't",,400,630
110,"So Elizabeth knows how to listen without judging, doesn't","So Frank knows how to listen without judging, doesn't",,630,400
111,"So Crystal stays calm under pressure, doesn't","So Aden stays calm under pressure, doesn't",,630,400
112,"So Georgia respects other people's opinions, doesn't","So Rick respects other people's opinions, doesn't",,630,400
113,"So Steven is never too busy to help out, is","So Sierra is never too busy to help out, is",,400,630
114,"So Adam brings coffee when you're working late, doesn't","So Mary brings coffee when you're working late, doesn't",,400,630
115,"So Ruby can always be counted on in a crisis, can't","So Arnold can always be counted on in a crisis, can't",,630,400
116,"So Edward often volunteers for charity work, doesn't","So Taylor often volunteers for charity work, doesn't",,400,630
117,"So Angel always plans the best surprises, doesn't","So Karen always plans the best surprises, doesn't",,400,630
118,"So Jordan always remembers birthdays, doesn't","So Ben always remembers birthdays, doesn't",,630,400
119,"So Emily respects other people's opinions, doesn't","So Brian respects other people's opinions, doesn't",,630,400
120,"So Summer can always be counted on in a crisis, can't","So Arthur can always be counted on in a crisis, can't",,630,400
121,"So Virginia gives the best book recommendations, doesn't","So Aaron gives the best book recommendations, doesn't",,630,400
122,"So Michael always remembers birthdays, doesn't","So Diana always remembers birthdays, doesn't",,400,630
123,"So Virginia shows up to all your events, doesn't","So London shows up to all your events, doesn't",,630,400
124,"So Kelly often volunteers for charity work, doesn't","So Manuel often volunteers for charity work, doesn't",,630,400
125,"So Mark always knows how to make you laugh, doesn't","So Jennifer always knows how to make you laugh, doesn't",,400,630
126,"So Jacob is the first to congratulate you, isn't","So Heaven is the first to congratulate you, isn't",,400,630
127,"So Paris takes care of their health, doesn't","So Josh takes care of their health, doesn't",,630,400
128,"So Jack can always be counted on in a crisis, can't","So Jesse can always be counted on in a crisis, can't",,400,630
129,"So William always remembers birthdays, doesn't","So Carol always remembers birthdays, doesn't",,400,630
130,"So Eric brings coffee when you're working late, doesn't","So Kelly brings coffee when you're working late, doesn't",,400,630
131,"So Paris is great with kids, isn't","So Denver is great with kids, isn't",,630,400
132,"So Rose is always learning something new, isn't","So Eli is always learning something new, isn't",,630,400
133,"So Unique shows up to all your events, doesn't","So Damian shows up to all your events, doesn't",,630,400
134,"So Christian is never too busy to help out, is","So Marc is never too busy to help out, is",,630,400
135,"So Jeremy is always respectful to everyone, isn't","So Maggie is always respectful to everyone, isn't",,400,630
136,"So Kelly is always there to lend an ear, isn't","So Danny is always there to lend an ear, isn't",,630,400
137,"So Michael is always learning something new, isn't","So Reagan is always learning something new, isn't",,400,630
138,"So Angel stays calm under pressure, doesn't","So Julia stays calm under pressure, doesn't",,400,630
139,"So Austin can always be counted on in a crisis, can't","So Angel can always be counted on in a crisis, can't",,400,630
140,"So Henry stays calm under pressure, doesn't","So India stays calm under pressure, doesn't",,400,630
141,"So Paul always knows how to make you laugh, doesn't","So Mary always knows how to make you laugh, doesn't",,400,630
142,"So Mark keeps secrets well, doesn't","So Hannah keeps secrets well, doesn't",,400,630
143,"So Alex takes care of their health, doesn't","So Martha takes care of their health, doesn't",,400,630
144,"So Paris always plans the best surprises, doesn't","So Jackson always plans the best surprises, doesn't",,630,400
145,"So Madison respects other people's opinions, doesn't","So Harvey respects other people's opinions, doesn't",,630,400
146,"So Scott offers a ride home when it's raining, doesn't","So Ruth offers a ride home when it's raining, doesn't",,400,630
147,"So Christian keeps secrets well, doesn't","So Parker keeps secrets well, doesn't",,400,630
148,"So Madison is great at giving advice, isn't","So Walter is great at giving advice, isn't",,630,400
149,"So Susan offers a ride home when it's raining, doesn't","So Roman offers a ride home when it's raining, doesn't",,630,400
150,"So Ian is always there to lend an ear, isn't","So America is always there to lend an ear, isn't",,400,630
151,"So America can always be counted on in a crisis, can't","So Andre can always be counted on in a crisis, can't",,630,400
152,"So Ryan shares their lunch when you forget yours, doesn't","So Tyler shares their lunch when you forget yours, doesn't",,400,630
153,"So Elsa is always respectful to everyone, isn't","So Dayton is always respectful to everyone, isn't",,630,400
154,"So London is the first to congratulate you, isn't","So Jacob is the first to congratulate you, isn't",,630,400
155,"So Carter is always up for an adventure, isn't","So Eva is always up for an adventure, isn't",,400,630
156,"So Morgan makes the best homemade cookies, doesn't","So Bennett makes the best homemade cookies, doesn't",,630,400
157,"So Kyle respects other people's opinions, doesn't","So Nina respects other people's opinions, doesn't",,400,630
158,"So Kate always texts back promptly, doesn't","So Julian always texts back promptly, doesn't",,630,400
159,"So Ian always remembers birthdays, doesn't","So Sandy always remembers birthdays, doesn't",,400,630
160,"So Robin remembers all the little details, doesn't","So Marshall remembers all the little details, doesn't",,630,400
161,"So Mark is the first to congratulate you, isn't","So Quinn is the first to congratulate you, isn't",,400,630
162,"So Maria stands up for their friends, doesn't","So Cooper stands up for their friends, doesn't",,630,400
163,"So Jeremy remembers all the little details, doesn't","So Logan remembers all the little details, doesn't",,400,630
164,"So Jamie takes care of their health, doesn't","So Benjamin takes care of their health, doesn't",,630,400
165,"So Jessica shows up to all your events, doesn't","So Steve shows up to all your events, doesn't",,630,400
166,"So Sky often volunteers for charity work, doesn't","So Allen often volunteers for charity work, doesn't",,630,400
167,"So Ann always texts back promptly, doesn't","So Carter always texts back promptly, doesn't",,630,400
168,"So Marie can always be counted on in a crisis, can't","So Nicholas can always be counted on in a crisis, can't",,630,400
169,"So India always remembers birthdays, doesn't","So Ari always remembers birthdays, doesn't",,630,400
170,"So Henry respects other people's opinions, doesn't","So Margaret respects other people's opinions, doesn't",,400,630
171,"So Marcus makes the best homemade cookies, doesn't","So Kate makes the best homemade cookies, doesn't",,400,630
172,"So Rachel is always up for an adventure, isn't","So Stefan is always up for an adventure, isn't",,630,400
173,"So Steven is the person everyone trusts, isn't","So Parker is the person everyone trusts, isn't",,400,630
174,"So Robert takes care of their health, doesn't","So Jane takes care of their health, doesn't",,400,630
175,"So William is always learning something new, isn't","So Joy is always learning something new, isn't",,400,630
176,"So Raven is never too busy to help out, is","So Clint is never too busy to help out, is",,630,400
