,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"<s> Is the sentiment of following sentence positive or negative?adults , other than the parents ...
Answer: It is","<s> Is the sentiment of following sentence exist or none?adults , other than the parents ...
Answer: It is",,5278,2588
2,"<s> Is the sentiment of following sentence positive or negative?for the under-7 crowd
Answer: It is","<s> Is the sentiment of following sentence exist or none?for the under-7 crowd
Answer: It is",,7087,2588
3,"<s> Is the sentiment of following sentence positive or negative?`` wild ride ''
Answer: It is","<s> Is the sentiment of following sentence exist or none?`` wild ride ''
Answer: It is",,5278,2588
4,"<s> Is the sentiment of following sentence positive or negative?wannabe-hip crime comedy
Answer: It is","<s> Is the sentiment of following sentence exist or none?wannabe-hip crime comedy
Answer: It is",,7087,2588
5,"<s> Is the sentiment of following sentence positive or negative?is an ` action film ' mired in stasis .
Answer: It is","<s> Is the sentiment of following sentence exist or none?is an ` action film ' mired in stasis .
Answer: It is",,5278,2588
6,"<s> Is the sentiment of following sentence positive or negative?does n't reveal even a hint of artifice
Answer: It is","<s> Is the sentiment of following sentence exist or none?does n't reveal even a hint of artifice
Answer: It is",,7087,2588
7,"<s> Is the sentiment of following sentence positive or negative?equally beautiful , self-satisfied 18-year-old mistress
Answer: It is","<s> Is the sentiment of following sentence exist or none?equally beautiful , self-satisfied 18-year-old mistress
Answer: It is",,5278,2588
8,"<s> Is the sentiment of following sentence positive or negative?may really need the company of others
Answer: It is","<s> Is the sentiment of following sentence exist or none?may really need the company of others
Answer: It is",,7087,2588
9,"<s> Is the sentiment of following sentence positive or negative?be an important movie , or even a good one
Answer: It is","<s> Is the sentiment of following sentence exist or none?be an important movie , or even a good one
Answer: It is",,5278,2588
10,"<s> Is the sentiment of following sentence positive or negative?'s quinn ( is ) a leather clad grunge-pirate with a hairdo like gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent .
Answer: It is","<s> Is the sentiment of following sentence exist or none?'s quinn ( is ) a leather clad grunge-pirate with a hairdo like gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent .
Answer: It is",,7087,2588
11,"<s> Is the sentiment of following sentence positive or negative?blood-curdling family intensity
Answer: It is","<s> Is the sentiment of following sentence exist or none?blood-curdling family intensity
Answer: It is",,5278,2588
12,"<s> Is the sentiment of following sentence positive or negative?was reportedly rewritten a dozen times
Answer: It is","<s> Is the sentiment of following sentence exist or none?was reportedly rewritten a dozen times
Answer: It is",,7087,2588
13,"<s> Is the sentiment of following sentence positive or negative?depict the french revolution
Answer: It is","<s> Is the sentiment of following sentence exist or none?depict the french revolution
Answer: It is",,5278,2588
14,"<s> Is the sentiment of following sentence positive or negative?covered earlier and much better
Answer: It is","<s> Is the sentiment of following sentence exist or none?covered earlier and much better
Answer: It is",,7087,2588
15,"<s> Is the sentiment of following sentence positive or negative?more emotional force
Answer: It is","<s> Is the sentiment of following sentence exist or none?more emotional force
Answer: It is",,5278,2588
16,"<s> Is the sentiment of following sentence positive or negative?might not have noticed
Answer: It is","<s> Is the sentiment of following sentence exist or none?might not have noticed
Answer: It is",,7087,2588
17,"<s> Is the sentiment of following sentence positive or negative?appealing character quirks to forgive that still serious problem
Answer: It is","<s> Is the sentiment of following sentence exist or none?appealing character quirks to forgive that still serious problem
Answer: It is",,5278,2588
18,"<s> Is the sentiment of following sentence positive or negative?'s not as obnoxious as tom green 's freddie got fingered
Answer: It is","<s> Is the sentiment of following sentence exist or none?'s not as obnoxious as tom green 's freddie got fingered
Answer: It is",,7087,2588
19,"<s> Is the sentiment of following sentence positive or negative?in his chilling , unnerving film
Answer: It is","<s> Is the sentiment of following sentence exist or none?in his chilling , unnerving film
Answer: It is",,5278,2588
20,"<s> Is the sentiment of following sentence positive or negative?the picture runs a mere 84 minutes ,
Answer: It is","<s> Is the sentiment of following sentence exist or none?the picture runs a mere 84 minutes ,
Answer: It is",,7087,2588
