,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
470,"Then, Aaron and Amber were working at the house. Aaron decided to give a drink to","Then, Aaron and Amber were working at the house. Tiffany decided to give a drink to","Then, Aaron and Amber were working at the house. Amber decided to give a drink to",330,20486
184,"Then, Nathan and Amber were working at the house. Nathan decided to give a necklace to","Then, Nathan and Amber were working at the house. Tyler decided to give a necklace to","Then, Nathan and Amber were working at the house. Amber decided to give a necklace to",330,20514
636,"Then, Kimberly and Lindsay were thinking about going to the restaurant. Lindsay wanted to give a bone to","Then, Kimberly and Lindsay were thinking about going to the restaurant. Timothy wanted to give a bone to","Then, Kimberly and Lindsay were thinking about going to the restaurant. Kimberly wanted to give a bone to",10791,10100
301,"When Gregory and Richard got a kiss at the station, Richard decided to give it to","When Gregory and Richard got a kiss at the station, Megan decided to give it to","When Gregory and Richard got a kiss at the station, Gregory decided to give it to",27113,6359
961,"Then, Jonathan and Steven had a lot of fun at the school. Jonathan gave a kiss to","Then, Jonathan and Steven had a lot of fun at the school. Emily gave a kiss to","Then, Jonathan and Steven had a lot of fun at the school. Steven gave a kiss to",20257,16656
414,"Then, Adam and Anthony had a lot of fun at the office. Adam gave a drink to","Then, Adam and Anthony had a lot of fun at the office. Katie gave a drink to","Then, Adam and Anthony had a lot of fun at the office. Anthony gave a drink to",15089,10534
255,"When Tiffany and Gregory got a kiss at the school, Tiffany decided to give it to","When Tiffany and Gregory got a kiss at the school, Michael decided to give it to","When Tiffany and Gregory got a kiss at the school, Gregory decided to give it to",27113,320
781,"When Nicole and Stephanie got a computer at the garden, Nicole decided to give it to","When Nicole and Stephanie got a computer at the garden, Justin decided to give it to","When Nicole and Stephanie got a computer at the garden, Stephanie decided to give it to",27316,27688
621,"Then, Richard and Thomas went to the garden. Richard gave a necklace to","Then, Richard and Thomas went to the garden. Rachel gave a necklace to","Then, Richard and Thomas went to the garden. Thomas gave a necklace to",6083,6359
245,"Then, Alexander and Vanessa were working at the house. Vanessa decided to give a drink to","Then, Alexander and Vanessa were working at the house. Christine decided to give a drink to","Then, Alexander and Vanessa were working at the house. Alexander decided to give a drink to",11055,7647
