,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
1,"Please choose the correct option from the following: ""What is 0 plus 0?"" Options: A. 2, B. 1, C. banana, D. 859, E. house, F. 0. The answer is ","Please choose the first option from the following: ""What is 0 plus 0?"" Options: A. 2, B. 1, C. banana, D. 859, E. house, F. 0. The answer is ",,401,330
2,"Please choose the correct option from the following: ""What is 0 plus 1?"" Options: A. house, B. 4, C. banana, D. 328, E. 1, F. 5. The answer is ","Please choose the first option from the following: ""What is 0 plus 1?"" Options: A. house, B. 4, C. banana, D. 328, E. 1, F. 5. The answer is ",,413,330
3,"Please choose the correct option from the following: ""What is 0 plus 2?"" Options: A. house, B. 9, C. banana, D. 2, E. 189, F. 3. The answer is ","Please choose the first option from the following: ""What is 0 plus 2?"" Options: A. house, B. 9, C. banana, D. 2, E. 189, F. 3. The answer is ",,384,330
4,"Please choose the correct option from the following: ""What is 0 plus 3?"" Options: A. banana, B. 1, C. house, D. 7, E. 3, F. 130. The answer is ","Please choose the first option from the following: ""What is 0 plus 3?"" Options: A. banana, B. 1, C. house, D. 7, E. 3, F. 130. The answer is ",,413,330
5,"Please choose the correct option from the following: ""What is 0 plus 4?"" Options: A. 9, B. house, C. banana, D. 2, E. 716, F. 4. The answer is ","Please choose the first option from the following: ""What is 0 plus 4?"" Options: A. 9, B. house, C. banana, D. 2, E. 716, F. 4. The answer is ",,401,330
6,"Please choose the correct option from the following: ""What is 0 plus 5?"" Options: A. 303, B. 5, C. banana, D. 9, E. house, F. 1. The answer is ","Please choose the first option from the following: ""What is 0 plus 5?"" Options: A. 303, B. 5, C. banana, D. 9, E. house, F. 1. The answer is ",,365,330
7,"Please choose the correct option from the following: ""What is 0 plus 6?"" Options: A. 6, B. house, C. banana, D. 7, E. 325, F. 9. The answer is ","Please choose the first option from the following: ""What is 0 plus 6?"" Options: A. 6, B. house, C. banana, D. 7, E. 325, F. 9. The answer is ",,330,330
8,"Please choose the correct option from the following: ""What is 0 plus 7?"" Options: A. 7, B. 5, C. banana, D. 8, E. house, F. 928. The answer is ","Please choose the first option from the following: ""What is 0 plus 7?"" Options: A. 7, B. 5, C. banana, D. 8, E. house, F. 928. The answer is ",,330,330
9,"Please choose the correct option from the following: ""What is 0 plus 8?"" Options: A. 814, B. banana, C. 8, D. 1, E. 3, F. house. The answer is ","Please choose the first option from the following: ""What is 0 plus 8?"" Options: A. 814, B. banana, C. 8, D. 1, E. 3, F. house. The answer is ",,334,330
10,"Please choose the correct option from the following: ""What is 0 plus 9?"" Options: A. 384, B. house, C. 6, D. banana, E. 9, F. 7. The answer is ","Please choose the first option from the following: ""What is 0 plus 9?"" Options: A. 384, B. house, C. 6, D. banana, E. 9, F. 7. The answer is ",,413,330
11,"Please choose the correct option from the following: ""What is 1 plus 0?"" Options: A. 3, B. house, C. banana, D. 881, E. 1, F. 4. The answer is ","Please choose the first option from the following: ""What is 1 plus 0?"" Options: A. 3, B. house, C. banana, D. 881, E. 1, F. 4. The answer is ",,413,330
12,"Please choose the correct option from the following: ""What is 1 plus 1?"" Options: A. 2, B. 6, C. house, D. banana, E. 7, F. 199. The answer is ","Please choose the first option from the following: ""What is 1 plus 1?"" Options: A. 2, B. 6, C. house, D. banana, E. 7, F. 199. The answer is ",,330,330
13,"Please choose the correct option from the following: ""What is 1 plus 2?"" Options: A. banana, B. 6, C. 3, D. 718, E. house. The answer is ","Please choose the first option from the following: ""What is 1 plus 2?"" Options: A. banana, B. 6, C. 3, D. 718, E. house. The answer is ",,334,330
